Region_name,District,HR_info_district_name,REGN_NO,DIST_NO,Sector,Activity_type,Organisation,Activity,Start_date,End_date
Gedo,Dolow,Doolow,26,2603,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Bakool,El Barde,Ceel Barde,25,2501,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Gedo,Ceel Waaq,El Waq,26,2604,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Gedo,Garbaharey,Garbahaarey,26,2605,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Bakool,Hudur,Xudur,25,2502,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Hiraan,Jalalaqsi,Jalalaqsi,20,2003,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Lower Juba,Jamaame,Jamaame,28,2803,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Lower Juba,Kismayo,Kismayo,28,2804,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Gedo,Luuq,Luuq,26,2606,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Bay,Qansah Dere,Qansax Dheere,24,2404,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Bakool,Rab Dhuure,Rab Dhuure,25,2503,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Bakool,Waajid,Waajid,25,2505,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Lower Shebelle,Wanla Weyne,Wanle Weyne,23,2307,Food security,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Sannag,Erigavo,Ceerigaabo,15,1502,Food security,NELIS,Africa Development Solutions (Adeso),"Project targets 2000 HHs, Funded CHF and Implemented by Horn Relief",07-01-2011,12-01-2011
Sanaag,Las Khorey,Laasqoray,15,1503,Food security,NELIS,Africa Development Solutions (Adeso),"Project targets 2000 HHs, Funded CHF and Implemented by Horn Relief",07-01-2011,12-01-2011
Lower Juba,Afmadow,Afmadow,28,2801,Education,Food Assistance for Vulnerable Households in South Central Somalia Phase II (FAVHSCS II),Africa Development Solutions (Adeso),Households in crisis are provided with sufficient cash to meet their basic food needs. Enhanced livelihood recovery through increased knowledge and skills development.,09-01-2012,05-01-2013
Gedo,Dolow,Doolow,26,2603,Education,Food Assistance for Vulnerable Households in South Central Somalia Phase II (FAVHSCS II),Africa Development Solutions (Adeso),Households in crisis are provided with sufficient cash to meet their basic food needs. Enhanced livelihood recovery through increased knowledge and skills development.,09-01-2012,05-01-2013
Gedo,Ceel Waaq,El Waq,26,2604,Education,Food Assistance for Vulnerable Households in South Central Somalia Phase II (FAVHSCS II),Africa Development Solutions (Adeso),Households in crisis are provided with sufficient cash to meet their basic food needs. Enhanced livelihood recovery through increased knowledge and skills development.,09-01-2012,05-01-2013
Mudug,Gaalkacyo,Galkaacyo,18,1801,Education,Food Assistance for Vulnerable Households in South Central Somalia Phase II (FAVHSCS II),Africa Development Solutions (Adeso),Households in crisis are provided with sufficient cash to meet their basic food needs. Enhanced livelihood recovery through increased knowledge and skills development.,09-01-2012,05-01-2013
Mudug,Galdogob,Galdogob,18,1802,Education,Food Assistance for Vulnerable Households in South Central Somalia Phase II (FAVHSCS II),Africa Development Solutions (Adeso),Households in crisis are provided with sufficient cash to meet their basic food needs. Enhanced livelihood recovery through increased knowledge and skills development.,09-01-2012,05-01-2013
Mudug,Hobyo,Hobyo,18,1804,Education,Food Assistance for Vulnerable Households in South Central Somalia Phase II (FAVHSCS II),Africa Development Solutions (Adeso),Households in crisis are provided with sufficient cash to meet their basic food needs. Enhanced livelihood recovery through increased knowledge and skills development.,09-01-2012,05-01-2013
Mudug,Jariiban,Jariiban,18,1805,Education,Food Assistance for Vulnerable Households in South Central Somalia Phase II (FAVHSCS II),Africa Development Solutions (Adeso),Households in crisis are provided with sufficient cash to meet their basic food needs. Enhanced livelihood recovery through increased knowledge and skills development.,09-01-2012,05-01-2013
Gedo,Luuq,Luuq,26,2606,Education,Food Assistance for Vulnerable Households in South Central Somalia Phase II (FAVHSCS II),Africa Development Solutions (Adeso),Households in crisis are provided with sufficient cash to meet their basic food needs. Enhanced livelihood recovery through increased knowledge and skills development.,09-01-2012,05-01-2013
Sannag,El Afweyn,Ceel Afweyn,15,1501,WASH,Livelihood and Emergency Assistance Project for Somalia (LEAPS),Africa Development Solutions (Adeso),"To save lives of the most vulnerable people affected by the recurrent droughts and insecurity by rebuilding their assets, developing livelihood assets and addressing water crises.",09-01-2012,10-01-2013
Sannag,Erigavo,Ceerigaabo,15,1502,WASH,Livelihood and Emergency Assistance Project for Somalia (LEAPS),Africa Development Solutions (Adeso),"To save lives of the most vulnerable people affected by the recurrent droughts and insecurity by rebuilding their assets, developing livelihood assets and addressing water crises.",09-01-2012,10-01-2013
Mudug,Gaalkacyo,Galkaacyo,18,1801,WASH,Livelihood and Emergency Assistance Project for Somalia (LEAPS),Africa Development Solutions (Adeso),"To save lives of the most vulnerable people affected by the recurrent droughts and insecurity by rebuilding their assets, developing livelihood assets and addressing water crises.",09-01-2012,10-01-2013
Mudug,Galdogob,Galdogob,18,1802,WASH,Livelihood and Emergency Assistance Project for Somalia (LEAPS),Africa Development Solutions (Adeso),"To save lives of the most vulnerable people affected by the recurrent droughts and insecurity by rebuilding their assets, developing livelihood assets and addressing water crises.",09-01-2012,10-01-2013
Mudug,Hobyo,Hobyo,18,1804,WASH,Livelihood and Emergency Assistance Project for Somalia (LEAPS),Africa Development Solutions (Adeso),"To save lives of the most vulnerable people affected by the recurrent droughts and insecurity by rebuilding their assets, developing livelihood assets and addressing water crises.",09-01-2012,10-01-2013
Mudug,Jariiban,Jariiban,18,1805,WASH,Livelihood and Emergency Assistance Project for Somalia (LEAPS),Africa Development Solutions (Adeso),"To save lives of the most vulnerable people affected by the recurrent droughts and insecurity by rebuilding their assets, developing livelihood assets and addressing water crises.",09-01-2012,10-01-2013
Sanaag,Las Khorey,Laasqoray,15,1503,WASH,Livelihood and Emergency Assistance Project for Somalia (LEAPS),Africa Development Solutions (Adeso),"To save lives of the most vulnerable people affected by the recurrent droughts and insecurity by rebuilding their assets, developing livelihood assets and addressing water crises.",09-01-2012,10-01-2013
Sannag,Erigavo,Ceerigaabo,15,1502,WASH,SERP II,Africa Development Solutions (Adeso),"Project Targets 300 IDP HH, funded by OFDA and Implimented by Horn Relief",11-01-2011,09-01-2012
Mudug,Gaalkacyo,Galkaacyo,18,1801,WASH,SERP II,Africa Development Solutions (Adeso),"Project Targets 300 IDP HH, funded by OFDA and Implimented by Horn Relief",11-01-2011,09-01-2012
Mudug,Galdogob,Galdogob,18,1802,WASH,SERP II,Africa Development Solutions (Adeso),"Project Targets 300 IDP HH, funded by OFDA and Implimented by Horn Relief",11-01-2011,09-01-2012
Mudug,Hobyo,Hobyo,18,1804,WASH,SERP II,Africa Development Solutions (Adeso),"Project Targets 300 IDP HH, funded by OFDA and Implimented by Horn Relief",11-01-2011,09-01-2012
Sanaag,Las Khorey,Laasqoray,15,1503,WASH,SERP II,Africa Development Solutions (Adeso),"Project Targets 300 IDP HH, funded by OFDA and Implimented by Horn Relief",11-01-2011,09-01-2012
Lower Juba,Afmadow,Afmadow,28,2801,Food security,CASCS,Africa Development Solutions (Adeso),"Project targets 2953 households, funded by UNICEF/SIDA/SDC and is implemented by our local partner AFREC",08-01-2011,04-01-2012
Gedo,Dolow,Doolow,26,2603,Food security,CASCS (Adeso),Africa Development Solutions (Adeso),"Project targets 1222 households funded by SIDA/SDC and is implemented using a consortium approach to beneficiary selection and registration, implementation methodology, risk mitigation and monitoring and reporting",08-01-2011,04-01-2012
Gedo,Luuq,Luuq,26,2606,Food security,CASCS (Adeso),Africa Development Solutions (Adeso),"Project targets 1222 households funded by SIDA/SDC and is implemented using a consortium approach to beneficiary selection and registration, implementation methodology, risk mitigation and monitoring and reporting",08-01-2011,04-01-2012
Mudug,Gaalkacyo,Galkaacyo,18,1801,Food security,SERP II,Africa Development Solutions (Adeso),"Project targets 1000 HHs CFW, funded by OFDA and is implemented by Horn Relief by beneficiary selection and registration, implementation methodology, risk mitigation and monitoring and reporting",11-01-2011,09-01-2012
Mudug,Galdogob,Galdogob,18,1802,Food security,SERP II,Africa Development Solutions (Adeso),"Project targets 1000 HHs CFW, funded by OFDA and is implemented by Horn Relief by beneficiary selection and registration, implementation methodology, risk mitigation and monitoring and reporting",11-01-2011,09-01-2012
Mudug,Hobyo,Hobyo,18,1804,Food security,SERP II,Africa Development Solutions (Adeso),"Project targets 1000 HHs CFW, funded by OFDA and is implemented by Horn Relief by beneficiary selection and registration, implementation methodology, risk mitigation and monitoring and reporting",11-01-2011,09-01-2012
Sannag,El Afweyn,Ceel Afweyn,15,1501,WASH,Water and Sanitation Project in Sanaag Finn Church Aid,Africa Development Solutions (Adeso),To enhance improved access to safe drinking water and promotion of good hygiene and sanitation practices of pastoralists and rural households affected by drought and conflict in Sanaag region of Somalia.,06-01-2012,11-01-2012
Sannag,Erigavo,Ceerigaabo,15,1502,WASH,Water and Sanitation Project in Sanaag Finn Church Aid,Africa Development Solutions (Adeso),To enhance improved access to safe drinking water and promotion of good hygiene and sanitation practices of pastoralists and rural households affected by drought and conflict in Sanaag region of Somalia.,06-01-2012,11-01-2012
Sanaag,Las Khorey,Laasqoray,15,1503,WASH,Water and Sanitation Project in Sanaag Finn Church Aid,Africa Development Solutions (Adeso),To enhance improved access to safe drinking water and promotion of good hygiene and sanitation practices of pastoralists and rural households affected by drought and conflict in Sanaag region of Somalia.,06-01-2012,11-01-2012
Sannag,Erigavo,Ceerigaabo,15,1502,Food security,NELIS,Africa Development Solutions (Adeso),"Project targets 750 HHs for CFW, funded by OFDA and implemented by Horn relief",07-01-2011,12-01-2011
Sanaag,Las Khorey,Laasqoray,15,1503,Food security,NELIS,Africa Development Solutions (Adeso),"Project targets 750 HHs for CFW, funded by OFDA and implemented by Horn relief",07-01-2011,12-01-2011
Lowe Juba,Badhadhe,Badhaadhe,28,2802,Food security,CASCS,Africa Development Solutions (Adeso),"Project targets 1925 households, funded by UNICEF/SIDA/SDC and is implemented by our local partner AFREC",08-01-2011,04-01-2012
Sannag,Erigavo,Ceerigaabo,15,1502,Food security,SERP II,Africa Development Solutions (Adeso),"Project targets 400 households CR, funded by OFDA and is implemented by Horn Relief",11-01-2011,09-01-2012
Sanaag,Las Khorey,Laasqoray,15,1503,Food security,SERP II,Africa Development Solutions (Adeso),"Project targets 400 households CR, funded by OFDA and is implemented by Horn Relief",11-01-2011,09-01-2012
Sannag,El Afweyn,Ceel Afweyn,15,1501,Protection,Social Safety Nets (SSN),Africa Development Solutions (Adeso),To reduce community vulnerability to chronic food insecurity in the operational areas of Horn Relief (Sool Plateau of Sanaag Region).,06-01-2010,11-01-2012
Sannag,Erigavo,Ceerigaabo,15,1502,Protection,Social Safety Nets (SSN),Africa Development Solutions (Adeso),To reduce community vulnerability to chronic food insecurity in the operational areas of Horn Relief (Sool Plateau of Sanaag Region).,06-01-2010,11-01-2012
Sanaag,Las Khorey,Laasqoray,15,1503,Protection,Social Safety Nets (SSN),Africa Development Solutions (Adeso),To reduce community vulnerability to chronic food insecurity in the operational areas of Horn Relief (Sool Plateau of Sanaag Region).,06-01-2010,11-01-2012
Sool,Lasanod,Laas Caanood,14,1403,Protection,Social Safety Nets (SSN),Africa Development Solutions (Adeso),To reduce community vulnerability to chronic food insecurity in the operational areas of Horn Relief (Sool Plateau of Sanaag Region).,06-01-2010,11-01-2012
Sool,Taleh,Taleex,14,1404,Protection,Social Safety Nets (SSN),Africa Development Solutions (Adeso),To reduce community vulnerability to chronic food insecurity in the operational areas of Horn Relief (Sool Plateau of Sanaag Region).,06-01-2010,11-01-2012
sool,Xudun,Xudun,14,1402,Protection,Social Safety Nets (SSN),Africa Development Solutions (Adeso),To reduce community vulnerability to chronic food insecurity in the operational areas of Horn Relief (Sool Plateau of Sanaag Region).,06-01-2010,11-01-2012
Gedo,Dolow,Doolow,26,2603,Food security,CASCS,Africa Development Solutions (Adeso),"Project targets 1170 households, funded by SIDA/SDC and is implemented using a consortium approach to beneficiary selection and registration, implementation methodology, risk mitigation and monitoring and reporting",08-01-2011,04-01-2012
Gedo,Luuq,Luuq,26,2606,Food security,CASCS,Africa Development Solutions (Adeso),"Project targets 1170 households, funded by SIDA/SDC and is implemented using a consortium approach to beneficiary selection and registration, implementation methodology, risk mitigation and monitoring and reporting",08-01-2011,04-01-2012
Sannag,Erigavo,Ceerigaabo,15,1502,Food security,SERP II,Africa Development Solutions (Adeso),"Project targets 1000 households CFW funded by OFDA and is implemented By Horn Relief using beneficiary selection and registration, implementation methodology, risk mitigation and monitoring and reporting",11-01-2011,09-01-2012
Sanaag,Las Khorey,Laasqoray,15,1503,Food security,SERP II,Africa Development Solutions (Adeso),"Project targets 1000 households CFW funded by OFDA and is implemented By Horn Relief using beneficiary selection and registration, implementation methodology, risk mitigation and monitoring and reporting",11-01-2011,09-01-2012
Sannag,El Afweyn,Ceel Afweyn,15,1501,Education,Pastoral Education Project Finn Church Aid,Africa Development Solutions (Adeso),"To improve access to quality education for pastoral children in Sanaag region, Somaliland/Somalia.",08-01-2012,01-01-2013
Sannag,Erigavo,Ceerigaabo,15,1502,Education,Pastoral Education Project Finn Church Aid,Africa Development Solutions (Adeso),"To improve access to quality education for pastoral children in Sanaag region, Somaliland/Somalia.",08-01-2012,01-01-2013
Lowe Juba,Badhadhe,Badhaadhe,28,2802,Education,Pastoral Education Project Finn Church Aid,Africa Development Solutions (Adeso),"To improve access to quality education for pastoral children in Sanaag region, Somaliland/Somalia.",08-01-2012,01-01-2013
Sanaag,Las Khorey,Laasqoray,15,1503,Education,Pastoral Education Project Finn Church Aid,Africa Development Solutions (Adeso),"To improve access to quality education for pastoral children in Sanaag region, Somaliland/Somalia.",08-01-2012,01-01-2013
Sannag,Erigavo,Ceerigaabo,15,1502,Food security,NELIS,Africa Development Solutions (Adeso),"Project targets 1021 HHs for CR, funded by OFDA and Implemented by Horn Relief",07-01-2011,12-01-2011
Sanaag,Las Khorey,Laasqoray,15,1503,Food security,NELIS,Africa Development Solutions (Adeso),"Project targets 1021 HHs for CR, funded by OFDA and Implemented by Horn Relief",07-01-2011,12-01-2011
Gedo,Beled Hawo,Belet Xaawo,26,2602,Food security,CASCS,Africa Development Solutions (Adeso),"Project targets 1822 households funded by SIDA/SDC and is implemented using a consortium approach to beneficiary selection and registration, implementation methodology, risk mitigation and monitoring and reporting.",08-01-2011,08-01-2012
Sool,Aynabo,Caynabo,14,1401,Education,Promoting Women's Political Participation for development of peace and security in Puntland,Africa Development Solutions (Adeso),To promote women's participation in peace and development efforts in Puntland.,09-01-2012,09-01-2014
Sannag,El Afweyn,Ceel Afweyn,15,1501,Education,Promoting Women's Political Participation for development of peace and security in Puntland,Africa Development Solutions (Adeso),To promote women's participation in peace and development efforts in Puntland.,09-01-2012,09-01-2014
Sannag,Erigavo,Ceerigaabo,15,1502,Education,Promoting Women's Political Participation for development of peace and security in Puntland,Africa Development Solutions (Adeso),To promote women's participation in peace and development efforts in Puntland.,09-01-2012,09-01-2014
Mudug,Gaalkacyo,Galkaacyo,18,1801,Education,Promoting Women's Political Participation for development of peace and security in Puntland,Africa Development Solutions (Adeso),To promote women's participation in peace and development efforts in Puntland.,09-01-2012,09-01-2014
Mudug,Galdogob,Galdogob,18,1802,Education,Promoting Women's Political Participation for development of peace and security in Puntland,Africa Development Solutions (Adeso),To promote women's participation in peace and development efforts in Puntland.,09-01-2012,09-01-2014
Mudug,Hobyo,Hobyo,18,1804,Education,Promoting Women's Political Participation for development of peace and security in Puntland,Africa Development Solutions (Adeso),To promote women's participation in peace and development efforts in Puntland.,09-01-2012,09-01-2014
Mudug,Jariiban,Jariiban,18,1805,Education,Promoting Women's Political Participation for development of peace and security in Puntland,Africa Development Solutions (Adeso),To promote women's participation in peace and development efforts in Puntland.,09-01-2012,09-01-2014
Sanaag,Las Khorey,Laasqoray,15,1503,Education,Promoting Women's Political Participation for development of peace and security in Puntland,Africa Development Solutions (Adeso),To promote women's participation in peace and development efforts in Puntland.,09-01-2012,09-01-2014
Sool,Lasanod,Laas Caanood,14,1403,Education,Promoting Women's Political Participation for development of peace and security in Puntland,Africa Development Solutions (Adeso),To promote women's participation in peace and development efforts in Puntland.,09-01-2012,09-01-2014
Sool,Taleh,Taleex,14,1404,Education,Promoting Women's Political Participation for development of peace and security in Puntland,Africa Development Solutions (Adeso),To promote women's participation in peace and development efforts in Puntland.,09-01-2012,09-01-2014
sool,Xudun,Xudun,14,1402,Education,Promoting Women's Political Participation for development of peace and security in Puntland,Africa Development Solutions (Adeso),To promote women's participation in peace and development efforts in Puntland.,09-01-2012,09-01-2014
Sannag,Erigavo,Ceerigaabo,15,1502,Food security,Social Safety Nets (SSN),Africa Development Solutions (Adeso),"Project targets 92 households,funded by EC/SIDA and is implemented using a consortium with Save the Children UK as A sub-grantee to Horn Relief methodology, risk mitigation and monitoring and reporting.",06-01-2010,11-01-2012
Sannag,Erigavo,Ceerigaabo,15,1502,Food security,SERP II,Africa Development Solutions (Adeso),"Project targets 3300 HHs and 300 HHs,funded by OFDA and is implemented by Horn Relief approach to beneficiary selection and registration, implementation methodology, risk mitigation and monitoring and reporting.",11-01-2011,09-01-2012
Mudug,Gaalkacyo,Galkaacyo,18,1801,Food security,SERP II,Africa Development Solutions (Adeso),"Project targets 3300 HHs and 300 HHs,funded by OFDA and is implemented by Horn Relief approach to beneficiary selection and registration, implementation methodology, risk mitigation and monitoring and reporting.",11-01-2011,09-01-2012
Mudug,Galdogob,Galdogob,18,1802,Food security,SERP II,Africa Development Solutions (Adeso),"Project targets 3300 HHs and 300 HHs,funded by OFDA and is implemented by Horn Relief approach to beneficiary selection and registration, implementation methodology, risk mitigation and monitoring and reporting.",11-01-2011,09-01-2012
Mudug,Hobyo,Hobyo,18,1804,Food security,SERP II,Africa Development Solutions (Adeso),"Project targets 3300 HHs and 300 HHs,funded by OFDA and is implemented by Horn Relief approach to beneficiary selection and registration, implementation methodology, risk mitigation and monitoring and reporting.",11-01-2011,09-01-2012
Sanaag,Las Khorey,Laasqoray,15,1503,Food security,SERP II,Africa Development Solutions (Adeso),"Project targets 3300 HHs and 300 HHs,funded by OFDA and is implemented by Horn Relief approach to beneficiary selection and registration, implementation methodology, risk mitigation and monitoring and reporting.",11-01-2011,09-01-2012
Middle Shebelle,Adale,Cadale,21,2004,Protection,Cash Assistance to South and Central Regions of Somalia (CASS),Africa Development Solutions (Adeso),"To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement. To ensure food security for households in the South and Central regions of Somalia. Entrepreneurial activities supported and developed, particularly for women and people affected by displacement.",09-01-2011,04-01-2013
Bari,Alula,Caluula,16,1601,Health,GF Malaria HMIS Strengthening Project,Comitato Collaborazione Medica (CCM_Italy),Strengthening of Ministry of Health National Routine Health Management Information Systems with financial support from GF Malaria through UNICEF.,01-01-2008,12-01-2011
